commune,population,région
L'Abergement-Clémenciat,821,Auvergne-Rhône-Alpes
L'Abergement-de-Varey,268,Auvergne-Rhône-Alpes
Ambérieu-en-Bugey,14662,Auvergne-Rhône-Alpes
Ambérieux-en-Dombes,1806,Auvergne-Rhône-Alpes
Ambléon,113,Auvergne-Rhône-Alpes
Ambronay,2946,Auvergne-Rhône-Alpes
Ambutrix,781,Auvergne-Rhône-Alpes
Andert-et-Condon,332,Auvergne-Rhône-Alpes
Anglefort,1116,Auvergne-Rhône-Alpes
Apremont,379,Auvergne-Rhône-Alpes
Aranc,330,Auvergne-Rhône-Alpes
Arandas,147,Auvergne-Rhône-Alpes
Arbent,3427,Auvergne-Rhône-Alpes
Arboys en Bugey,678,Auvergne-Rhône-Alpes
Arbigny,467,Auvergne-Rhône-Alpes
Argis,456,Auvergne-Rhône-Alpes
Armix,30,Auvergne-Rhône-Alpes
Ars-sur-Formans,1520,Auvergne-Rhône-Alpes
Artemare,1229,Auvergne-Rhône-Alpes
Asnières-sur-Saône,76,Auvergne-Rhône-Alpes
Attignat,3365,Auvergne-Rhône-Alpes
Bâgé-Dommartin,4172,Auvergne-Rhône-Alpes
Bâgé-le-Châtel,1045,Auvergne-Rhône-Alpes
Balan,2699,Auvergne-Rhône-Alpes
Baneins,642,Auvergne-Rhône-Alpes
Beaupont,691,Auvergne-Rhône-Alpes
Beauregard,836,Auvergne-Rhône-Alpes
Bellignat,3905,Auvergne-Rhône-Alpes
Béligneux,3443,Auvergne-Rhône-Alpes
Valserhône,16770,Auvergne-Rhône-Alpes
Belley,9550,Auvergne-Rhône-Alpes
Belleydoux,316,Auvergne-Rhône-Alpes
Valromey-sur-Séran,1358,Auvergne-Rhône-Alpes
Bénonces,312,Auvergne-Rhône-Alpes
Bény,778,Auvergne-Rhône-Alpes
Béon,446,Auvergne-Rhône-Alpes
Béréziat,490,Auvergne-Rhône-Alpes
Bettant,768,Auvergne-Rhône-Alpes
Bey,298,Auvergne-Rhône-Alpes
Beynost,4943,Auvergne-Rhône-Alpes
Billiat,645,Auvergne-Rhône-Alpes
Birieux,288,Auvergne-Rhône-Alpes
Biziat,920,Auvergne-Rhône-Alpes
Blyes,1303,Auvergne-Rhône-Alpes
La Boisse,3412,Auvergne-Rhône-Alpes
Boissey,384,Auvergne-Rhône-Alpes
Bolozon,92,Auvergne-Rhône-Alpes
Bouligneux,338,Auvergne-Rhône-Alpes
Bourg-en-Bresse,43363,Auvergne-Rhône-Alpes
Bourg-Saint-Christophe,1517,Auvergne-Rhône-Alpes
Boyeux-Saint-Jérôme,355,Auvergne-Rhône-Alpes
Boz,530,Auvergne-Rhône-Alpes
Brégnier-Cordon,838,Auvergne-Rhône-Alpes
Brénod,505,Auvergne-Rhône-Alpes
Brens,1166,Auvergne-Rhône-Alpes
Bressolles,974,Auvergne-Rhône-Alpes
Brion,577,Auvergne-Rhône-Alpes
Briord,1114,Auvergne-Rhône-Alpes
Buellas,1889,Auvergne-Rhône-Alpes
La Burbanche,93,Auvergne-Rhône-Alpes
Ceignes,271,Auvergne-Rhône-Alpes
Cerdon,788,Auvergne-Rhône-Alpes
Certines,1553,Auvergne-Rhône-Alpes
Cessy,5168,Auvergne-Rhône-Alpes
Ceyzériat,3265,Auvergne-Rhône-Alpes
Ceyzérieu,1020,Auvergne-Rhône-Alpes
Chalamont,2612,Auvergne-Rhône-Alpes
Chaleins,1433,Auvergne-Rhône-Alpes
Chaley,125,Auvergne-Rhône-Alpes
Challes-la-Montagne,194,Auvergne-Rhône-Alpes
Challex,1631,Auvergne-Rhône-Alpes
Champagne-en-Valromey,852,Auvergne-Rhône-Alpes
Champdor-Corcelles,652,Auvergne-Rhône-Alpes
Champfromier,747,Auvergne-Rhône-Alpes
Chanay,652,Auvergne-Rhône-Alpes
Chaneins,982,Auvergne-Rhône-Alpes
Chanoz-Châtenay,940,Auvergne-Rhône-Alpes
La Chapelle-du-Châtelard,403,Auvergne-Rhône-Alpes
Charix,289,Auvergne-Rhône-Alpes
Charnoz-sur-Ain,930,Auvergne-Rhône-Alpes
Château-Gaillard,2303,Auvergne-Rhône-Alpes
Châtenay,367,Auvergne-Rhône-Alpes
Châtillon-la-Palud,1682,Auvergne-Rhône-Alpes
Châtillon-sur-Chalaronne,5171,Auvergne-Rhône-Alpes
Chavannes-sur-Reyssouze,773,Auvergne-Rhône-Alpes
Nivigne et Suran,861,Auvergne-Rhône-Alpes
Chaveyriat,1063,Auvergne-Rhône-Alpes
Chazey-Bons,1213,Auvergne-Rhône-Alpes
Chazey-sur-Ain,1650,Auvergne-Rhône-Alpes
Cheignieu-la-Balme,135,Auvergne-Rhône-Alpes
Chevillard,159,Auvergne-Rhône-Alpes
Chevroux,981,Auvergne-Rhône-Alpes
Chevry,2276,Auvergne-Rhône-Alpes
Chézery-Forens,464,Auvergne-Rhône-Alpes
Civrieux,1919,Auvergne-Rhône-Alpes
Cize,185,Auvergne-Rhône-Alpes
Cleyzieu,140,Auvergne-Rhône-Alpes
Coligny,1185,Auvergne-Rhône-Alpes
Collonges,2276,Auvergne-Rhône-Alpes
Colomieu,161,Auvergne-Rhône-Alpes
Conand,135,Auvergne-Rhône-Alpes
Condamine,473,Auvergne-Rhône-Alpes
Condeissiat,829,Auvergne-Rhône-Alpes
Confort,704,Auvergne-Rhône-Alpes
Confrançon,1370,Auvergne-Rhône-Alpes
Contrevoz,510,Auvergne-Rhône-Alpes
Conzieu,151,Auvergne-Rhône-Alpes
Corbonod,1306,Auvergne-Rhône-Alpes
Corlier,117,Auvergne-Rhône-Alpes
Cormoranche-sur-Saône,1195,Auvergne-Rhône-Alpes
Cormoz,710,Auvergne-Rhône-Alpes
Corveissiat,617,Auvergne-Rhône-Alpes
Courmangoux,514,Auvergne-Rhône-Alpes
Courtes,302,Auvergne-Rhône-Alpes
Crans,308,Auvergne-Rhône-Alpes
Bresse Vallons,2406,Auvergne-Rhône-Alpes
Cressin-Rochefort,400,Auvergne-Rhône-Alpes
Crottet,1836,Auvergne-Rhône-Alpes
Crozet,2269,Auvergne-Rhône-Alpes
Cruzilles-lès-Mépillat,943,Auvergne-Rhône-Alpes
Culoz,3048,Auvergne-Rhône-Alpes
Curciat-Dongalon,449,Auvergne-Rhône-Alpes
Curtafond,783,Auvergne-Rhône-Alpes
Cuzieu,449,Auvergne-Rhône-Alpes
Dagneux,4819,Auvergne-Rhône-Alpes
Divonne-les-Bains,10239,Auvergne-Rhône-Alpes
Dompierre-sur-Veyle,1214,Auvergne-Rhône-Alpes
Dompierre-sur-Chalaronne,439,Auvergne-Rhône-Alpes
Domsure,512,Auvergne-Rhône-Alpes
Dortan,1939,Auvergne-Rhône-Alpes
Douvres,1123,Auvergne-Rhône-Alpes
Drom,219,Auvergne-Rhône-Alpes
Druillat,1168,Auvergne-Rhône-Alpes
Échallon,781,Auvergne-Rhône-Alpes
Échenevex,2198,Auvergne-Rhône-Alpes
Évosges,147,Auvergne-Rhône-Alpes
Faramans,855,Auvergne-Rhône-Alpes
Fareins,2392,Auvergne-Rhône-Alpes
Farges,1072,Auvergne-Rhône-Alpes
Feillens,3438,Auvergne-Rhône-Alpes
Ferney-Voltaire,10784,Auvergne-Rhône-Alpes
Flaxieu,68,Auvergne-Rhône-Alpes
Foissiat,2050,Auvergne-Rhône-Alpes
Francheleins,1619,Auvergne-Rhône-Alpes
Frans,2453,Auvergne-Rhône-Alpes
Garnerans,681,Auvergne-Rhône-Alpes
Genouilleux,674,Auvergne-Rhône-Alpes
Béard-Géovreissiat,1071,Auvergne-Rhône-Alpes
Géovreisset,871,Auvergne-Rhône-Alpes
Gex,13467,Auvergne-Rhône-Alpes
Giron,178,Auvergne-Rhône-Alpes
Gorrevod,813,Auvergne-Rhône-Alpes
Grand-Corent,189,Auvergne-Rhône-Alpes
Grièges,1936,Auvergne-Rhône-Alpes
Grilly,862,Auvergne-Rhône-Alpes
Groissiat,1291,Auvergne-Rhône-Alpes
Guéreins,1516,Auvergne-Rhône-Alpes
Hautecourt-Romanèche,784,Auvergne-Rhône-Alpes
Plateau d'Hauteville,4981,Auvergne-Rhône-Alpes
Haut Valromey,634,Auvergne-Rhône-Alpes
Illiat,702,Auvergne-Rhône-Alpes
Injoux-Génissiat,1150,Auvergne-Rhône-Alpes
Innimond,87,Auvergne-Rhône-Alpes
Izenave,156,Auvergne-Rhône-Alpes
Izernore,2327,Auvergne-Rhône-Alpes
Izieu,226,Auvergne-Rhône-Alpes
Jassans-Riottier,6430,Auvergne-Rhône-Alpes
Jasseron,1861,Auvergne-Rhône-Alpes
Jayat,1261,Auvergne-Rhône-Alpes
Journans,391,Auvergne-Rhône-Alpes
Joyeux,269,Auvergne-Rhône-Alpes
Jujurieux,2173,Auvergne-Rhône-Alpes
Labalme,218,Auvergne-Rhône-Alpes
Lagnieu,7340,Auvergne-Rhône-Alpes
Laiz,1336,Auvergne-Rhône-Alpes
Le Poizat-Lalleyriat,762,Auvergne-Rhône-Alpes
Lantenay,280,Auvergne-Rhône-Alpes
Lapeyrouse,326,Auvergne-Rhône-Alpes
Lavours,136,Auvergne-Rhône-Alpes
Léaz,812,Auvergne-Rhône-Alpes
Lélex,235,Auvergne-Rhône-Alpes
Lent,1436,Auvergne-Rhône-Alpes
Lescheroux,720,Auvergne-Rhône-Alpes
Leyment,1361,Auvergne-Rhône-Alpes
Leyssard,166,Auvergne-Rhône-Alpes
Surjoux-Lhopital,145,Auvergne-Rhône-Alpes
Lhuis,914,Auvergne-Rhône-Alpes
Lompnas,166,Auvergne-Rhône-Alpes
Loyettes,3324,Auvergne-Rhône-Alpes
Lurcy,398,Auvergne-Rhône-Alpes
Magnieu,654,Auvergne-Rhône-Alpes
Maillat,682,Auvergne-Rhône-Alpes
Malafretaz,1248,Auvergne-Rhône-Alpes
Mantenay-Montlin,317,Auvergne-Rhône-Alpes
Manziat,1997,Auvergne-Rhône-Alpes
Marboz,2319,Auvergne-Rhône-Alpes
Marchamp,132,Auvergne-Rhône-Alpes
Marignieu,170,Auvergne-Rhône-Alpes
Marlieux,1266,Auvergne-Rhône-Alpes
Marsonnas,1050,Auvergne-Rhône-Alpes
Martignat,1740,Auvergne-Rhône-Alpes
Massieux,2767,Auvergne-Rhône-Alpes
Massignieu-de-Rives,640,Auvergne-Rhône-Alpes
Matafelon-Granges,646,Auvergne-Rhône-Alpes
Meillonnas,1414,Auvergne-Rhône-Alpes
Mérignat,138,Auvergne-Rhône-Alpes
Messimy-sur-Saône,1299,Auvergne-Rhône-Alpes
Meximieux,8141,Auvergne-Rhône-Alpes
Bohas-Meyriat-Rignat,971,Auvergne-Rhône-Alpes
Mézériat,2244,Auvergne-Rhône-Alpes
Mijoux,312,Auvergne-Rhône-Alpes
Mionnay,2299,Auvergne-Rhône-Alpes
Miribel,10355,Auvergne-Rhône-Alpes
Misérieux,2249,Auvergne-Rhône-Alpes
Mogneneins,819,Auvergne-Rhône-Alpes
Montagnat,2193,Auvergne-Rhône-Alpes
Montagnieu,662,Auvergne-Rhône-Alpes
Montanges,361,Auvergne-Rhône-Alpes
Montceaux,1216,Auvergne-Rhône-Alpes
Montcet,724,Auvergne-Rhône-Alpes
Le Montellier,309,Auvergne-Rhône-Alpes
Monthieux,705,Auvergne-Rhône-Alpes
Montluel,6944,Auvergne-Rhône-Alpes
Montmerle-sur-Saône,3849,Auvergne-Rhône-Alpes
Montracol,1036,Auvergne-Rhône-Alpes
Montréal-la-Cluse,3580,Auvergne-Rhône-Alpes
Montrevel-en-Bresse,2619,Auvergne-Rhône-Alpes
Nurieux-Volognat,1035,Auvergne-Rhône-Alpes
Murs-et-Gélignieux,247,Auvergne-Rhône-Alpes
Nantua,3587,Auvergne-Rhône-Alpes
Neuville-les-Dames,1511,Auvergne-Rhône-Alpes
Neuville-sur-Ain,1824,Auvergne-Rhône-Alpes
Les Neyrolles,645,Auvergne-Rhône-Alpes
Neyron,2648,Auvergne-Rhône-Alpes
Niévroz,1652,Auvergne-Rhône-Alpes
Nivollet-Montgriffon,116,Auvergne-Rhône-Alpes
Oncieu,82,Auvergne-Rhône-Alpes
Ordonnaz,136,Auvergne-Rhône-Alpes
Ornex,4766,Auvergne-Rhône-Alpes
Outriaz,265,Auvergne-Rhône-Alpes
Oyonnax,22724,Auvergne-Rhône-Alpes
Ozan,713,Auvergne-Rhône-Alpes
Parcieux,1366,Auvergne-Rhône-Alpes
Parves et Nattages,996,Auvergne-Rhône-Alpes
Péron,2836,Auvergne-Rhône-Alpes
Péronnas,6735,Auvergne-Rhône-Alpes
Pérouges,1340,Auvergne-Rhône-Alpes
Perrex,852,Auvergne-Rhône-Alpes
Peyriat,148,Auvergne-Rhône-Alpes
Peyrieu,915,Auvergne-Rhône-Alpes
Peyzieux-sur-Saône,686,Auvergne-Rhône-Alpes
Pirajoux,424,Auvergne-Rhône-Alpes
Pizay,906,Auvergne-Rhône-Alpes
Plagne,159,Auvergne-Rhône-Alpes
Le Plantay,599,Auvergne-Rhône-Alpes
Polliat,2667,Auvergne-Rhône-Alpes
Pollieu,169,Auvergne-Rhône-Alpes
Poncin,1735,Auvergne-Rhône-Alpes
Pont-d'Ain,2957,Auvergne-Rhône-Alpes
Pont-de-Vaux,2238,Auvergne-Rhône-Alpes
Pont-de-Veyle,1701,Auvergne-Rhône-Alpes
Port,861,Auvergne-Rhône-Alpes
Pougny,817,Auvergne-Rhône-Alpes
Pouillat,83,Auvergne-Rhône-Alpes
Prémeyzel,253,Auvergne-Rhône-Alpes
Prémillieu,44,Auvergne-Rhône-Alpes
Prévessin-Moëns,9193,Auvergne-Rhône-Alpes
Priay,1756,Auvergne-Rhône-Alpes
Ramasse,337,Auvergne-Rhône-Alpes
Rancé,753,Auvergne-Rhône-Alpes
Relevant,476,Auvergne-Rhône-Alpes
Replonges,3925,Auvergne-Rhône-Alpes
Revonnas,921,Auvergne-Rhône-Alpes
Reyrieux,5192,Auvergne-Rhône-Alpes
Reyssouze,1035,Auvergne-Rhône-Alpes
Rignieux-le-Franc,1084,Auvergne-Rhône-Alpes
Romans,610,Auvergne-Rhône-Alpes
Rossillon,159,Auvergne-Rhône-Alpes
Ruffieu,187,Auvergne-Rhône-Alpes
Saint-Alban,193,Auvergne-Rhône-Alpes
Saint-André-de-Bâgé,815,Auvergne-Rhône-Alpes
Saint-André-de-Corcy,3425,Auvergne-Rhône-Alpes
Saint-André-d'Huiriat,689,Auvergne-Rhône-Alpes
Saint-André-le-Bouchoux,416,Auvergne-Rhône-Alpes
Saint-André-sur-Vieux-Jonc,1209,Auvergne-Rhône-Alpes
Saint-Bénigne,1363,Auvergne-Rhône-Alpes
Groslée-Saint-Benoit,1279,Auvergne-Rhône-Alpes
Saint-Bernard,1528,Auvergne-Rhône-Alpes
Sainte-Croix,556,Auvergne-Rhône-Alpes
Saint-Cyr-sur-Menthon,1863,Auvergne-Rhône-Alpes
Saint-Denis-lès-Bourg,6137,Auvergne-Rhône-Alpes
Saint-Denis-en-Bugey,2278,Auvergne-Rhône-Alpes
Saint-Didier-d'Aussiat,871,Auvergne-Rhône-Alpes
Saint-Didier-de-Formans,2136,Auvergne-Rhône-Alpes
Saint-Didier-sur-Chalaronne,3069,Auvergne-Rhône-Alpes
Saint-Éloi,529,Auvergne-Rhône-Alpes
Saint-Étienne-du-Bois,2575,Auvergne-Rhône-Alpes
Saint-Étienne-sur-Chalaronne,1629,Auvergne-Rhône-Alpes
Saint-Étienne-sur-Reyssouze,591,Auvergne-Rhône-Alpes
Sainte-Euphémie,1752,Auvergne-Rhône-Alpes
Saint-Genis-Pouilly,14463,Auvergne-Rhône-Alpes
Saint-Genis-sur-Menthon,491,Auvergne-Rhône-Alpes
Saint-Georges-sur-Renon,208,Auvergne-Rhône-Alpes
Saint-Germain-de-Joux,509,Auvergne-Rhône-Alpes
Saint-Germain-les-Paroisses,434,Auvergne-Rhône-Alpes
Saint-Germain-sur-Renon,253,Auvergne-Rhône-Alpes
Saint-Jean-de-Gonville,1982,Auvergne-Rhône-Alpes
Saint-Jean-de-Niost,1646,Auvergne-Rhône-Alpes
Saint-Jean-de-Thurigneux,821,Auvergne-Rhône-Alpes
Saint-Jean-le-Vieux,1859,Auvergne-Rhône-Alpes
Saint-Jean-sur-Reyssouze,775,Auvergne-Rhône-Alpes
Saint-Jean-sur-Veyle,1193,Auvergne-Rhône-Alpes
Sainte-Julie,1105,Auvergne-Rhône-Alpes
Saint-Julien-sur-Reyssouze,733,Auvergne-Rhône-Alpes
Saint-Julien-sur-Veyle,857,Auvergne-Rhône-Alpes
Saint-Just,980,Auvergne-Rhône-Alpes
Saint-Laurent-sur-Saône,1702,Auvergne-Rhône-Alpes
Saint-Marcel,1248,Auvergne-Rhône-Alpes
Saint-Martin-de-Bavel,454,Auvergne-Rhône-Alpes
Saint-Martin-du-Frêne,1038,Auvergne-Rhône-Alpes
Saint-Martin-du-Mont,1922,Auvergne-Rhône-Alpes
Saint-Martin-le-Châtel,807,Auvergne-Rhône-Alpes
Saint-Maurice-de-Beynost,4107,Auvergne-Rhône-Alpes
Saint-Maurice-de-Gourdans,2755,Auvergne-Rhône-Alpes
Saint-Maurice-de-Rémens,774,Auvergne-Rhône-Alpes
Saint-Nizier-le-Bouchoux,625,Auvergne-Rhône-Alpes
Saint-Nizier-le-Désert,938,Auvergne-Rhône-Alpes
Sainte-Olive,309,Auvergne-Rhône-Alpes
Saint-Paul-de-Varax,1604,Auvergne-Rhône-Alpes
Saint-Rambert-en-Bugey,2201,Auvergne-Rhône-Alpes
Saint-Rémy,983,Auvergne-Rhône-Alpes
Saint-Sorlin-en-Bugey,1177,Auvergne-Rhône-Alpes
Saint-Sulpice,259,Auvergne-Rhône-Alpes
Saint-Trivier-de-Courtes,1124,Auvergne-Rhône-Alpes
Saint-Trivier-sur-Moignans,1866,Auvergne-Rhône-Alpes
Saint-Vulbas,1268,Auvergne-Rhône-Alpes
Salavre,281,Auvergne-Rhône-Alpes
Samognat,682,Auvergne-Rhône-Alpes
Sandrans,568,Auvergne-Rhône-Alpes
Sault-Brénaz,1001,Auvergne-Rhône-Alpes
Sauverny,1007,Auvergne-Rhône-Alpes
Savigneux,1457,Auvergne-Rhône-Alpes
Ségny,2198,Auvergne-Rhône-Alpes
Seillonnaz,142,Auvergne-Rhône-Alpes
Sergy,2282,Auvergne-Rhône-Alpes
Sermoyer,670,Auvergne-Rhône-Alpes
Serrières-de-Briord,1350,Auvergne-Rhône-Alpes
Serrières-sur-Ain,136,Auvergne-Rhône-Alpes
Servas,1301,Auvergne-Rhône-Alpes
Servignat,174,Auvergne-Rhône-Alpes
Seyssel,1023,Auvergne-Rhône-Alpes
Simandre-sur-Suran,670,Auvergne-Rhône-Alpes
Sonthonnax-la-Montagne,306,Auvergne-Rhône-Alpes
Souclin,279,Auvergne-Rhône-Alpes
Sulignat,623,Auvergne-Rhône-Alpes
Talissieu,531,Auvergne-Rhône-Alpes
Tenay,1024,Auvergne-Rhône-Alpes
Thil,1130,Auvergne-Rhône-Alpes
Thoiry,6299,Auvergne-Rhône-Alpes
Thoissey,1672,Auvergne-Rhône-Alpes
Torcieu,749,Auvergne-Rhône-Alpes
Tossiat,1390,Auvergne-Rhône-Alpes
Toussieux,1191,Auvergne-Rhône-Alpes
Tramoyes,1867,Auvergne-Rhône-Alpes
La Tranclière,291,Auvergne-Rhône-Alpes
Val-Revermont,2561,Auvergne-Rhône-Alpes
Trévoux,7108,Auvergne-Rhône-Alpes
Valeins,128,Auvergne-Rhône-Alpes
Vandeins,729,Auvergne-Rhône-Alpes
Varambon,648,Auvergne-Rhône-Alpes
Vaux-en-Bugey,1253,Auvergne-Rhône-Alpes
Verjon,336,Auvergne-Rhône-Alpes
Vernoux,310,Auvergne-Rhône-Alpes
Versailleux,498,Auvergne-Rhône-Alpes
Versonnex,2215,Auvergne-Rhône-Alpes
Vesancy,501,Auvergne-Rhône-Alpes
Vescours,226,Auvergne-Rhône-Alpes
Vésines,103,Auvergne-Rhône-Alpes
Vieu-d'Izenave,761,Auvergne-Rhône-Alpes
Villars-les-Dombes,5040,Auvergne-Rhône-Alpes
Villebois,1213,Auvergne-Rhône-Alpes
Villemotier,650,Auvergne-Rhône-Alpes
Villeneuve,1599,Auvergne-Rhône-Alpes
Villereversure,1376,Auvergne-Rhône-Alpes
Villes,401,Auvergne-Rhône-Alpes
Villette-sur-Ain,775,Auvergne-Rhône-Alpes
Villieu-Loyes-Mollon,3827,Auvergne-Rhône-Alpes
Viriat,6817,Auvergne-Rhône-Alpes
Virieu-le-Grand,1151,Auvergne-Rhône-Alpes
Arvière-en-Valromey,729,Auvergne-Rhône-Alpes
Virignin,1139,Auvergne-Rhône-Alpes
Vongnes,73,Auvergne-Rhône-Alpes
Vonnas,3240,Auvergne-Rhône-Alpes
Abbécourt,516,Hauts-de-France
Achery,615,Hauts-de-France
Acy,1045,Hauts-de-France
Agnicourt-et-Séchelles,190,Hauts-de-France
Aguilcourt,391,Hauts-de-France
Aisonville-et-Bernoville,269,Hauts-de-France
Aizelles,123,Hauts-de-France
Aizy-Jouy,303,Hauts-de-France
Alaincourt,537,Hauts-de-France
Allemant,175,Hauts-de-France
Ambleny,1214,Hauts-de-France
Ambrief,73,Hauts-de-France
Amifontaine,399,Hauts-de-France
Amigny-Rouy,743,Hauts-de-France
Ancienville,75,Hauts-de-France
Andelain,223,Hauts-de-France
Anguilcourt-le-Sart,310,Hauts-de-France
Anizy-le-Grand,2641,Hauts-de-France
Annois,364,Hauts-de-France
Any-Martin-Rieux,463,Hauts-de-France
Archon,83,Hauts-de-France
Arcy-Sainte-Restitue,407,Hauts-de-France
Armentières-sur-Ourcq,104,Hauts-de-France
Arrancy,49,Hauts-de-France
Artemps,369,Hauts-de-France
Assis-sur-Serre,218,Hauts-de-France
Athies-sous-Laon,2656,Hauts-de-France
Attilly,363,Hauts-de-France
Aubencheul-aux-Bois,258,Hauts-de-France
Aubenton,667,Hauts-de-France
Aubigny-aux-Kaisnes,258,Hauts-de-France
Aubigny-en-Laonnois,104,Hauts-de-France
Audignicourt,125,Hauts-de-France
Audigny,292,Hauts-de-France
Augy,71,Hauts-de-France
Aulnois-sous-Laon,1410,Hauts-de-France
Les Autels,61,Hauts-de-France
Autremencourt,177,Hauts-de-France
Autreppes,179,Hauts-de-France
Autreville,830,Hauts-de-France
Azy-sur-Marne,385,Hauts-de-France
Bagneux,65,Hauts-de-France
Bancigny,24,Hauts-de-France
Barenton-Bugny,567,Hauts-de-France
Barenton-Cel,109,Hauts-de-France
Barenton-sur-Serre,132,Hauts-de-France
Barisis-aux-Bois,753,Hauts-de-France
Barzy-en-Thiérache,322,Hauts-de-France
Barzy-sur-Marne,397,Hauts-de-France
Bassoles-Aulers,139,Hauts-de-France
Vallées en Champagne,579,Hauts-de-France
Bazoches-et-Saint-Thibaut,547,Hauts-de-France
Beaumé,89,Hauts-de-France
Beaumont-en-Beine,181,Hauts-de-France
Beaurevoir,1429,Hauts-de-France
Beaurieux,862,Hauts-de-France
Beautor,2746,Hauts-de-France
Beauvois-en-Vermandois,262,Hauts-de-France
Becquigny,252,Hauts-de-France
Belleau,138,Hauts-de-France
Bellenglise,387,Hauts-de-France
Belleu,3829,Hauts-de-France
Bellicourt,598,Hauts-de-France
Benay,195,Hauts-de-France
Bergues-sur-Sambre,214,Hauts-de-France
Berlancourt,90,Hauts-de-France
Berlise,107,Hauts-de-France
Bernot,453,Hauts-de-France
Berny-Rivière,661,Hauts-de-France
Berrieux,186,Hauts-de-France
Berry-au-Bac,691,Hauts-de-France
Bertaucourt-Epourdon,603,Hauts-de-France
Berthenicourt,196,Hauts-de-France
Bertricourt,156,Hauts-de-France
Berzy-le-Sec,389,Hauts-de-France
Besmé,167,Hauts-de-France
Besmont,147,Hauts-de-France
Besny-et-Loizy,336,Hauts-de-France
Béthancourt-en-Vaux,440,Hauts-de-France
Beugneux,110,Hauts-de-France
Beuvardes,766,Hauts-de-France
Bézu-le-Guéry,260,Hauts-de-France
Bézu-Saint-Germain,1028,Hauts-de-France
Bichancourt,1011,Hauts-de-France
Bieuxy,35,Hauts-de-France
Bièvres,93,Hauts-de-France
Billy-sur-Aisne,1167,Hauts-de-France
Billy-sur-Ourcq,207,Hauts-de-France
Blanzy-lès-Fismes,95,Hauts-de-France
Blérancourt,1366,Hauts-de-France
Blesmes,479,Hauts-de-France
Bohain-en-Vermandois,5778,Hauts-de-France
Bois-lès-Pargny,196,Hauts-de-France
Boncourt,263,Hauts-de-France
Bonneil,392,Hauts-de-France
Bonnesvalyn,221,Hauts-de-France
Bony,138,Hauts-de-France
Bosmont-sur-Serre,189,Hauts-de-France
Bouconville-Vauclair,191,Hauts-de-France
Boué,1337,Hauts-de-France
Bouffignereux,102,Hauts-de-France
Bouresches,195,Hauts-de-France
Bourg-et-Comin,819,Hauts-de-France
Bourguignon-sous-Coucy,109,Hauts-de-France
Bourguignon-sous-Montbavin,162,Hauts-de-France
La Bouteille,484,Hauts-de-France
Braine,2258,Hauts-de-France
Brancourt-en-Laonnois,739,Hauts-de-France
Brancourt-le-Grand,566,Hauts-de-France
Brasles,1593,Hauts-de-France
Braye-en-Laonnois,192,Hauts-de-France
Braye-en-Thiérache,143,Hauts-de-France
Bray-Saint-Christophe,67,Hauts-de-France
Braye,132,Hauts-de-France
Brécy,327,Hauts-de-France
Brenelle,202,Hauts-de-France
Breny,241,Hauts-de-France
Brie,56,Hauts-de-France
Brissay-Choigny,304,Hauts-de-France
Brissy-Hamégicourt,661,Hauts-de-France
Brumetz,193,Hauts-de-France
Brunehamel,453,Hauts-de-France
Bruyères-sur-Fère,196,Hauts-de-France
Bruyères-et-Montbérault,1493,Hauts-de-France
Bruys,19,Hauts-de-France
Bucilly,207,Hauts-de-France
Bucy-le-Long,1924,Hauts-de-France
Bucy-lès-Cerny,195,Hauts-de-France
Bucy-lès-Pierrepont,412,Hauts-de-France
Buire,873,Hauts-de-France
Buironfosse,1164,Hauts-de-France
Burelles,131,Hauts-de-France
Bussiares,157,Hauts-de-France
Buzancy,203,Hauts-de-France
Caillouël-Crépigny,455,Hauts-de-France
Camelin,466,Hauts-de-France
La Capelle,1852,Hauts-de-France
Castres,255,Hauts-de-France
Le Catelet,191,Hauts-de-France
Caulaincourt,143,Hauts-de-France
Caumont,555,Hauts-de-France
Celles-lès-Condé,97,Hauts-de-France
Celles-sur-Aisne,258,Hauts-de-France
Cerizy,62,Hauts-de-France
Cerny-en-Laonnois,62,Hauts-de-France
Cerny-lès-Bucy,119,Hauts-de-France
Cerseuil,88,Hauts-de-France
Cessières-Suzy,796,Hauts-de-France
Chacrise,372,Hauts-de-France
Chaillevois,178,Hauts-de-France
Chalandry,259,Hauts-de-France
Chambry,857,Hauts-de-France
Chamouille,273,Hauts-de-France
Champs,304,Hauts-de-France
Chaourse,545,Hauts-de-France
La Chapelle-sur-Chézy,306,Hauts-de-France
Charly-sur-Marne,2626,Hauts-de-France
Le Charmel,334,Hauts-de-France
Charmes,1684,Hauts-de-France
Chartèves,368,Hauts-de-France
Chassemy,902,Hauts-de-France
Château-Thierry,15618,Hauts-de-France
Châtillon-lès-Sons,84,Hauts-de-France
Châtillon-sur-Oise,124,Hauts-de-France
Chaudardes,91,Hauts-de-France
Chaudun,259,Hauts-de-France
Chauny,11843,Hauts-de-France
Chavignon,852,Hauts-de-France
Chavigny,168,Hauts-de-France
Chavonne,210,Hauts-de-France
Chérêt,142,Hauts-de-France
Chermizy-Ailles,112,Hauts-de-France
Chéry-Chartreuve,388,Hauts-de-France
Chéry-lès-Pouilly,740,Hauts-de-France
Chéry-lès-Rozoy,85,Hauts-de-France
Chevennes,116,Hauts-de-France
Chevregny,186,Hauts-de-France
Chevresis-Monceau,351,Hauts-de-France
